,name,country,career_starting_at,career_ending_at,career_length,censor
1683,JJC Lawson,WI,2001,2005,5,1
1685,Saleem Pervez,Pak,1980,1980,1,1
1687,LR Shukla,India,1999,1999,1,1
1689,Tanvir Ahmed,Pak,2011,2011,1,1
1691,RGCE Wijesuriya,SL,1982,1985,4,1
1692,Zulqarnain,Pak,1985,1989,5,1
1693,GI Allott,NZ,1997,2000,4,1
1694,IS Gallage,SL,1999,2001,3,1
1696,MJ Hoggard,Eng,2001,2006,6,1
1698,Intikhab Alam,Pak,1973,1976,4,1
1700,RSA Jayasekera,SL,1982,1982,1,1
1701,KCB Jeremy,WI,2000,2001,2,1
1702,RJ Kennedy,NZ,1996,1996,1,1
1703,P Lever,Eng,1971,1975,5,1
1704,Raqibul Hasan,Ban,1986,1986,1,1
1706,CEW Silverwood,Eng,1996,2001,6,1
1709,CAK Walton,WI,2009,2014,6,0
1710,S Abrahams,SA,2000,2000,1,1
1711,RW Anderson,NZ,1976,1978,3,1
1712,JH Desai,SA,2004,2004,1,1
1715,Jahangir Shah,Ban,1986,1990,5,1
1716,RL Johnson,Eng,2003,2003,1,1
1719,RAL Massie,Aus,1972,1972,1,1
1720,KJ O'Keeffe,Aus,1977,1977,1,1
1722,ADG Roberts,NZ,1976,1976,1,1
1724,S Somasunder,India,1996,1996,1,1
1728,C Zhuwao,Zim,2008,2008,1,1
1729,PJW Allott,Eng,1982,1985,4,1
1730,KN Amalean,SL,1986,1988,3,1
1731,HF Gurney,Eng,2014,2014,1,0
1732,JR Hammond,Aus,1972,1972,1,1
1733,RS Higgins,Zim,2006,2006,1,1
1735,Irfan Fazil,Pak,2000,2000,1,1
1737,BW Luckhurst,Eng,1975,1975,1,1
1738,Mansoor Rana,Pak,1990,1990,1,1
1739,Mohammad Zahid,Pak,1996,2002,7,1
1740,Mosharraf Hossain,Ban,2008,2008,1,1
1741,Mustafizur Rahman,Ban,2015,2015,1,0
1742,Nurul Abedin,Ban,1986,1990,5,1
1744,HD Rutherford,NZ,2013,2013,1,0
1745,Sajjad Ahmed,Ban,1995,1995,1,1
1746,DM Smith,Eng,1986,1990,5,1
1749,PCR Tufnell,Eng,1990,1997,8,1
1750,PS Vaidya,India,1995,1996,2,1
1754,AP Wells,Eng,1995,1995,1,1
1755,Zafar Gohar,Pak,2015,2015,1,0
1759,Asif Mahmood,Pak,1998,1998,1,1
1761,AR Butcher,Eng,1980,1980,1,1
1762,G Chapple,Eng,2006,2006,1,1
1764,EA Essop-Adam,Zim,1992,1992,1,1
1766,AA Mallett,Aus,1971,1975,5,1
1767,WP Masakadza,Zim,2015,2015,1,0
1768,Mohammad Akram,Pak,1995,2000,6,1
1769,Nadeem Ghauri,Pak,1990,1990,1,1
1770,IA Nicolson,Zim,2010,2010,1,1
1772,GE Vivian,NZ,1973,1973,1,1
1773,LJ Woodcock,NZ,2011,2011,1,1
1774,Zahid Razzak,Ban,1988,1990,3,1
1775,Aamer Nazir,Pak,1993,1995,3,1
1776,Asad Ali,Pak,2013,2013,1,0
1777,LS Baker,WI,2008,2009,2,1
1778,MD Bates,NZ,2012,2012,1,0
1779,GA Bishop,Aus,1987,1987,1,1
1780,GK Bose,India,1974,1974,1,1
1781,NG Cowans,Eng,1983,1985,3,1
1782,HT Davis,NZ,1994,1997,4,1
1783,RR Emrit,WI,2007,2007,1,1
1784,Gurkeerat Singh,India,2016,2016,1,0
1785,RL Hayes,NZ,1995,1995,1,1
1786,RO Hurley,WI,2003,2004,2,1
1788,JJ Krejza,Aus,2011,2011,1,1
1789,AMN Munasinghe,SL,1994,1996,3,1
1791,Usman Salahuddin,Pak,2011,2011,1,1
1795,GK Bruk-Jackson,Zim,1993,1993,1,1
1796,Danish Kaneria,Pak,2001,2007,7,1
1797,IC Davis,Aus,1974,1977,4,1
1798,RP de Groen,NZ,1993,1994,2,1
1799,AM de Silva,SL,1986,1993,8,1
1800,R Dhawan,India,2016,2016,1,0
1801,Enamul Haque jnr,Ban,2005,2009,5,1
1802,M Hayward,SA,1998,2002,5,1
1804,Javed Qadeer,Pak,1995,1995,1,1
1805,TJ Jenner,Aus,1975,1975,1,1
1806,NM Lyon,Aus,2012,2016,5,0
1807,AJ McKay,NZ,2010,2012,3,0
1811,TS Nethula,NZ,2012,2012,1,0
1814,Ahmed Kamal,Ban,1999,1999,1,1
1816,Arshad Pervez,Pak,1978,1978,1,1
1817,J Blackwood,WI,2015,2015,1,0
1820,PH Carlson,Aus,1979,1979,1,1
1821,BS Chandrasekhar,India,1976,1976,1,1
1822,PA Emery,Aus,1994,1994,1,1
1823,Haafiz Shahid,Pak,1988,1988,1,1
1824,GW Humpage,Eng,1981,1981,1,1
1825,DSNFG Jayasuriya,SL,2015,2015,1,0
1826,SMS Kaluperuma,SL,1988,1988,1,1
1827,NM Kulkarni,India,1997,1998,2,1
1828,JA Maclean,Aus,1979,1979,1,1
1829,V Permaul,WI,2012,2013,2,0
1830,B Reddy,India,1978,1981,4,1
1831,G Sharma,India,1985,1987,3,1
1833,FJ Titmus,Eng,1975,1975,1,1
1834,GD Watson,Aus,1972,1972,1,1
1837,TR Ambrose,Eng,2008,2008,1,1
1838,Asif Masood,Pak,1973,1976,4,1
1839,HK Bennett,NZ,2010,2014,5,0
1840,D Bishoo,WI,2011,2011,1,1
1841,D Brown,WI,2001,2002,2,1
1842,DLS de Silva,SL,1979,1979,1,1
1844,B Geeves,Aus,2008,2009,2,1
1845,W Jaffer,India,2006,2006,1,1
1846,Kabir Khan,Pak,1994,2000,7,1
1847,AV Kale,India,2003,2003,1,1
1850,A Martin,WI,2011,2011,1,1
1852,Shabbir Ahmed,Pak,1999,2005,7,1
1853,Shariful Haque,Ban,1998,1998,1,1
1854,TE Srinivasan,India,1980,1981,2,1
1856,GC Tonge,WI,2009,2009,1,1
1857,MDJ Walker,NZ,2003,2003,1,1
1858,WA Wisneski,NZ,2000,2000,1,1
1859,AK Zesers,Aus,1987,1987,1,1
1860,MJ Bennett,Aus,1984,1985,2,1
1861,CE Bulfin,NZ,1999,1999,1,1
1863,NA David,India,1997,1997,1,1
1864,GN de Silva,SL,1983,1985,3,1
1865,GRA de Silva,SL,1975,1982,8,1
1866,DR Doshi,India,1980,1982,3,1
1867,CJ Drum,NZ,1999,1999,1,1
1869,Faisal Athar,Pak,2003,2003,1,1
1870,MJ Haslam,NZ,1992,1992,1,1
1871,AG Huckle,Zim,1997,1999,3,1
1872,HR Johnson,SA,2004,2004,1,1
1873,DE Malcolm,Eng,1990,1994,5,1
1874,Mohammad Salim,Ban,2003,2003,1,1
1876,LS Rajput,India,1985,1987,3,1
1877,Rashid Zia,SA,2004,2004,1,1
1878,JA Snow,Eng,1971,1975,5,1
1879,GP Sulzberger,NZ,2000,2000,1,1
1880,AJ Tudor,Eng,2002,2002,1,1
1881,VB van Jaarsveld,SA,2009,2009,1,1
1883,VR Aaron,India,2011,2014,4,0
1885,RA Austin,WI,1978,1978,1,1
1886,BS Browne,WI,1994,1994,1,1
1887,H Davids,SA,2013,2013,1,0
1889,R Dhanraj,WI,1994,1995,2,1
1890,P Dharmani,India,1996,1996,1,1
1891,TL Fernando,SL,1989,1989,1,1
1892,JC Gamage,SL,1995,1995,1,1
1893,Gholam Nousher,Ban,1986,1990,5,1
1894,Hafizur Rahman,Ban,1986,1986,1,1
1895,ND Hirwani,India,1988,1992,5,1
1897,Iftikhar Ahmed,Pak,2015,2015,1,0
1898,ACI Lock,Zim,1996,1996,1,1
1899,MA Lynch,Eng,1988,1988,1,1
1900,CS Martin,NZ,2001,2008,8,1
1901,EZ Matambanadzo,Zim,1996,1997,2,1
1902,PDRL Perera,SL,1999,2007,9,1
1903,Rahat Ali,Pak,2012,2016,5,0
1904,SS Raul,India,1998,1998,1,1
1905,CA Reid,SA,2004,2004,1,1
1906,RL Sanghvi,India,1998,1998,1,1
1907,VRV Singh,India,2006,2006,1,1
1909,DS Steele,Eng,1976,1976,1,1
1910,DM Vonhagt,SL,1985,1985,1,1
1911,HS Williams,SA,1999,2000,2,1
1913,KG Duers,Zim,1992,1992,1,1
1914,Fazl-e-Akbar,Pak,1998,2001,4,1
1915,WCA Ganegama,SL,2001,2006,6,1
1918,VR Hogg,Zim,1983,1983,1,1
1919,AG Hurst,Aus,1975,1979,5,1
1921,SD Jack,SA,1994,1995,2,1
1922,Jahangir Alam Talukdar,Ban,1990,1990,1,1
1923,MKGCP Lakshitha,SL,2002,2003,2,1
1924,Liaqat Ali,Pak,1977,1978,2,1
1925,GA Manou,Aus,2009,2009,1,1
1926,PL Mhambrey,India,1996,1998,3,1
1927,EA Moseley,WI,1990,1991,2,1
1928,JK Moss,Aus,1979,1979,1,1
1929,M Pushpakumara,SL,2009,2010,2,1
1930,IDK Salisbury,Eng,1993,1994,2,1
1931,K Shuttleworth,Eng,1971,1971,1,1
1934,RJW Topley,Eng,2015,2016,2,0
1935,JDF Vandersay,SL,2015,2016,2,0
1937,T Yohannan,India,2002,2002,1,1
1938,MKDI Amerasinghe,SL,2007,2008,2,1
1939,Bhupinder Singh snr,India,1994,1994,1,1
1940,IW Callen,Aus,1978,1982,5,1
1941,GD Campbell,Aus,1989,1990,2,1
1942,U Chatterjee,India,1995,1995,1,1
1943,MT Chinouya,Zim,2013,2013,1,0
1945,CE Eksteen,SA,1991,1994,4,1
1946,Fahim Muntasir,Ban,2001,2002,2,1
1947,AP Grayson,Eng,2000,2001,2,1
1949,Harvinder Singh,India,1997,2001,5,1
1950,M Hendrick,Eng,1973,1981,9,1
1952,P Krishnamurthy,India,1976,1976,1,1
1953,JN Mohammed,WI,2011,2015,5,0
1954,T Muzarabani,Zim,2015,2015,1,0
1955,MJ North,Aus,2009,2009,1,1
1957,AK Patel,India,1984,1985,2,1
1958,DB Rundle,SA,1994,1994,1,1
1959,RJ Webb,NZ,1983,1983,1,1
1960,AC Agar,Aus,2015,2015,1,0
1961,Aijaz Ali,SA,2004,2004,1,1
1962,RT Crandon,WI,2009,2009,1,1
1964,JR Hazlewood,Aus,2010,2016,7,0
1965,R Illingworth,Eng,1971,1973,3,1
1966,Jalal-ud-Din,Pak,1982,1983,2,1
1967,Jubair Hossain,Ban,2014,2015,2,0
1970,Mansoor Amjad,Pak,2008,2008,1,1
1971,Maqsood Rana,Pak,1990,1990,1,1
1972,Naumanullah,Pak,2008,2008,1,1
1973,Neeyamur Rashid,Ban,1999,1999,1,1
1975,D Ramnarine,WI,1997,2001,5,1
1976,Sajjad Akbar,Pak,1990,1990,1,1
1977,L Sivaramakrishnan,India,1985,1987,3,1
1979,IS Sodhi,NZ,2015,2016,2,0
1980,Talha Jubair,Ban,2002,2003,2,1
1981,DJ Terbrugge,SA,2000,2000,1,1
1982,J Theron,SA,2010,2010,1,1
1984,Abul Hasan,Ban,2012,2015,4,0
1985,Al-Amin Hossain,Ban,2014,2015,2,0
1986,MI Black,WI,2001,2001,1,1
1987,N Dickwella,SL,2014,2014,1,0
1989,Fawad Ahmed,Aus,2013,2013,1,0
1990,PJ Franks,Eng,2000,2000,1,1
1991,D Ganesh,India,1997,1997,1,1
1992,Gursharan Singh,India,1990,1990,1,1
1993,Jahangir Alam,Ban,1997,1999,3,1
1994,ML Lewis,Aus,2005,2006,2,1
1996,Mohammad Nazir,Pak,1980,1984,5,1
1997,GK Pandey,India,1999,1999,1,1
1998,PI Pocock,Eng,1985,1985,1,1
1999,AM Salvi,India,2003,2003,1,1
2000,Samiur Rahman,Ban,1986,1986,1,1
2003,RW Staple,SA,2004,2004,1,1
2004,PJR Steyn,SA,1995,1995,1,1
2005,MP Stoinis,Aus,2015,2015,1,0
2006,R Sudhakar Rao,India,1976,1976,1,1
2009,GS Trimble,Aus,1986,1986,1,1
2011,SL Watkin,Eng,1994,1994,1,1
2012,UWMBCA Welegedara,SL,2009,2010,2,1
2013,RPAH Wickramaratne,SL,1993,1993,1,1
2014,P Wilson,Aus,1997,1998,2,1
2015,M Zondeki,SA,2002,2008,7,1
2016,SA Abbott,Aus,2014,2014,1,0
2020,JWHD Boteju,SL,1999,1999,1,1
2022,SS Cottrell,WI,2015,2015,1,0
2024,N Pradeep,SL,2012,2016,5,0
2025,D Gamage,SL,2003,2003,1,1
2026,LJ Hamilton,NZ,2005,2005,1,1
2027,RT Hart,NZ,1985,1985,1,1
2028,PD Heyn,SL,1975,1975,1,1
2029,Ijaz Ahmed jnr,Pak,1997,1997,1,1
2031,Mahbubur Rahman,Ban,1999,1999,1,1
2032,Mazharul Haque,Ban,2002,2002,1,1
2033,MC Mendis,SL,1995,1995,1,1
2034,DJ Murray,NZ,1994,1994,1,1
2035,SV Nayak,India,1981,1982,2,1
2036,IE O'Brien,NZ,2008,2009,2,1
2037,Pankaj Singh,India,2010,2010,1,1
2040,GD Porter,Aus,1979,1979,1,1
2041,U Ranchod,Zim,1992,1993,2,1
2042,RE Redmond,NZ,1973,1973,1,1
2044,CEL Stuart,WI,2001,2001,1,1
2045,Taskin Ahmed,Ban,2014,2015,2,0
2048,CJPG van Zyl,SA,1992,1992,1,1
2049,Zahid Ahmed,Pak,1987,1987,1,1
2052,JP Agnew,Eng,1985,1985,1,1
2054,Anisur Rahman,Ban,1995,1998,4,1
2055,SM Boland,Aus,2016,2016,1,0
2056,DJ Cullen,Aus,2006,2006,1,1
2057,BR Dorey,Aus,2006,2006,1,1
2058,WJ Edwards,Aus,1975,1975,1,1
2059,Elias Sunny,Ban,2011,2012,2,0
2061,AAW Gunawardena,SL,1994,1994,1,1
2064,Junaid Zia,Pak,2003,2003,1,1
2066,Kashif Raza,Pak,2001,2001,1,1
2067,RJ Kirtley,Eng,2001,2004,4,1
2068,DS Kulkarni,India,2014,2015,2,0
2069,Masood Iqbal,Pak,1984,1984,1,1
2070,SC Meaker,Eng,2011,2011,1,1
2072,Morshed Ali Khan,Ban,1998,1998,1,1
2073,SP Mukherjee,India,1990,1991,2,1
2074,Nadeem Khan,Pak,1993,1995,3,1
2075,Nasir Javed,SA,2004,2004,1,1
2076,DR O'Sullivan,NZ,1974,1976,3,1
2078,MR Pydanna,WI,1980,1983,4,1
2080,ACL Richards,WI,2007,2007,1,1
2084,PIC Thompson,WI,1997,1997,1,1
2085,MS Tshabalala,SA,2007,2007,1,1
2086,AP Weerakkody,SL,1994,1994,1,1
2087,MD Wettimuny,SL,1983,1983,1,1
2088,DF Whatmore,Aus,1980,1980,1,1
2090,AGD Wickremasinghe,SL,1992,1993,2,1
2091,A Zampa,Aus,2016,2016,1,0
2094,Aminul Islam jnr,Ban,1999,1999,1,1
2096,GA Cope,Eng,1977,1978,2,1
2097,MC Cowdrey,Eng,1971,1971,1,1
2098,CI Dunusinghe,SL,1995,1995,1,1
2099,MTG Elliott,Aus,1997,1997,1,1
2100,RS Ghai,India,1984,1986,3,1
2102,Iqbal Sikander,Pak,1992,1992,1,1
2103,SA Jayasinghe,SL,1979,1979,1,1
2104,SP Jones,Eng,2004,2005,2,1
2105,B Laughlin,Aus,2009,2009,1,1
2106,SCG MacGill,Aus,2000,2000,1,1
2107,Mahmood Hamid,Pak,1995,1995,1,1
2110,Moniruzzaman,Ban,2003,2003,1,1
2111,PV Mpitsang,SA,1999,1999,1,1
2113,W Mwayenga,Zim,2002,2004,3,1
2114,DP Nannes,Aus,2009,2009,1,1
2115,Nasim-ul-Ghani,Pak,1973,1973,1,1
2116,NV Ojha,India,2010,2010,1,1
2117,G Onions,Eng,2009,2009,1,1
2119,AK Perera,SL,2013,2014,2,0
2121,RR Ramdass,WI,2005,2005,1,1
2122,SJ Roberts,NZ,1990,1990,1,1
2123,LC Romero,SA,2004,2004,1,1
2124,R Sharma,India,2011,2012,2,0
2125,KJ Silva,SL,1995,1995,1,1
2126,AM Stuart,Aus,1997,1997,1,1
2127,JP Taylor,Eng,1993,1993,1,1
2128,LB Taylor,Eng,1986,1986,1,1
2129,JG Thomas,Eng,1986,1987,2,1
2130,S Tyagi,India,2009,2010,2,1
2131,KPJ Warnaweera,SL,1990,1993,4,1
2133,NS Yadav,India,1986,1987,2,1
2134,B Yograj Singh,India,1980,1981,2,1
2137,J Angel,Aus,1994,1995,2,1
2138,Anwar Hossain Monir,Ban,2002,2002,1,1
2140,MRCN Bandaratilleke,SL,1998,1998,1,1
2141,JE Benjamin,Eng,1994,1995,2,1
2142,A Bhandari,India,2000,2004,5,1
2143,DL Blake,SA,2004,2004,1,1
2144,BP Bracewell,NZ,1978,1978,1,1
2150,PLS Gamage,SL,2014,2015,2,0
2151,LR Gibbs,WI,1973,1975,3,1
2152,N Gifford,Eng,1985,1985,1,1
2154,RG Hart,NZ,2002,2002,1,1
2155,Harunur Rashid,Ban,1988,1988,1,1
2156,SM Harwood,Aus,2009,2009,1,1
2158,PHT Kaushal,SL,2015,2015,1,0
2159,GJP Kruger,SA,2006,2006,1,1
2160,AGR Loudon,Eng,2006,2006,1,1
2161,AW Mathieson,NZ,2015,2015,1,0
2162,JP Millmow,NZ,1990,1990,1,1
2163,Mohammad Khalil,Pak,2005,2005,1,1
2164,Mohammad Talha,Pak,2014,2014,1,0
2165,D Mohammed,WI,2006,2008,3,1
2166,Naeem Ahmed,Pak,1978,1978,1,1
2167,Najaf Shah,Pak,2007,2007,1,1
2168,Naseer Malik,Pak,1975,1975,1,1
2170,AM Nayar,India,2009,2009,1,1
2171,N Ncube,Zim,2011,2011,1,1
2172,MB Owens,NZ,1992,1992,1,1
2173,NM Parker,NZ,1976,1976,1,1
2174,NT Pascal,WI,2009,2009,1,1
2175,N Phillip,WI,1978,1978,1,1
2176,AG Puttick,SA,2005,2005,1,1
2177,NV Radford,Eng,1988,1988,1,1
2178,Rafiqul Islam,Ban,2002,2002,1,1
2180,N Ranatunga,SL,1993,1993,1,1
2181,Raza Hasan,Pak,2014,2014,1,0
2183,Robiul Islam,Ban,2013,2013,1,0
2184,Shadab Kabir,Pak,1996,1996,1,1
2185,Shakeel Khan,Pak,1987,1987,1,1
2186,GS Sobers,WI,1973,1973,1,1
2187,Tanvir Mehdi,Pak,1992,1992,1,1
2188,M Venkataramana,India,1988,1988,1,1
2190,CM Willoughby,SA,2000,2003,4,1
2192,Zakir Hossain,Ban,1998,1998,1,1
2193,Aamer Hameed,Pak,1977,1978,2,1
2194,Abdur Rauf,Pak,2008,2008,1,1
2195,FS Ahangama,SL,1985,1985,1,1
2196,GW Aldridge,NZ,2011,2011,1,1
2197,ZS Ansari,Eng,2015,2015,1,0
2198,Ashfaq Ahmed,Pak,1994,1994,1,1
2199,MD Bailey,NZ,1998,1998,1,1
2200,GR Beard,Aus,1981,1981,1,1
2201,T Bosch,SA,1992,1992,1,1
2202,DR Briggs,Eng,2012,2012,1,0
2204,JJ Bumrah,India,2016,2016,1,0
2206,WM Clark,Aus,1978,1978,1,1
2207,DJ Colley,Aus,1972,1972,1,1
2208,AN Connolly,Aus,1971,1971,1,1
2209,NGB Cook,Eng,1984,1989,6,1
2210,ML Cummins,WI,2014,2014,1,0
2211,A Dananjaya,SL,2012,2012,1,0
2213,M de Lange,SA,2012,2016,5,0
2216,KADM Fernando,SL,2003,2003,1,1
2217,TN Garwe,Zim,2009,2009,1,1
2219,MS Gony,India,2008,2008,1,1
2220,FRMD Gunatilleke,SL,1979,1979,1,1
2221,PL Harris,SA,2008,2008,1,1
2222,CW Henderson,SA,2001,2001,1,1
2223,RG Holland,Aus,1985,1985,1,1
2224,Irfan Bhatti,Pak,1993,1993,1,1
2226,PS Jayaprakashdaran,SL,2005,2005,1,1
2227,R Kaia,Zim,2015,2015,1,0
2228,JC Kent,SA,2002,2002,1,1
2230,DV Lawrence,Eng,1991,1991,1,1
2232,AJ Mackay,Zim,2001,2001,1,1
2233,GD McKenzie,Aus,1971,1971,1,1
2237,AA Noffke,Aus,2008,2008,1,1
2239,JS Paris,Aus,2016,2016,1,0
2240,SD Parry,Eng,2014,2014,1,0
2241,Parvez Rasool,India,2014,2014,1,0
2242,RGM Patel,India,1988,1988,1,1
2243,KG Perera,SL,1986,1986,1,1
2245,Randhir Singh,India,1981,1983,3,1
2246,NLK Ratnayake,SL,1989,1990,2,1
2248,Rizwan Ahmed,Pak,2008,2008,1,1
2252,Samiullah Khan,Pak,2008,2008,1,1
2253,GS Sandhu,Aus,2015,2015,1,0
2254,BN Schultz,SA,1992,1992,1,1
2255,TAP Sekhar,India,1983,1985,3,1
2257,KV Sharma,India,2014,2014,1,0
2258,M Shezi,SA,2014,2014,1,0
2259,RP Singh,India,1986,1986,1,1
2260,MA Small,WI,1984,1984,1,1
2262,BB Sran,India,2016,2016,1,0
2263,LW Stott,NZ,1979,1979,1,1
2264,Taijul Islam,Ban,2014,2015,2,0
2265,EP Thompson,NZ,2009,2009,1,1
2266,AL Thomson,Aus,1971,1971,1,1
2267,RW Tolchard,Eng,1979,1979,1,1
2269,CM Tuckett,WI,1998,1998,1,1
2270,I Udana,SL,2012,2012,1,0
2271,JD Unadkat,India,2013,2013,1,0
2273,JM Vince,Eng,2015,2015,1,0
2274,Wahidul Gani,Ban,1988,1988,1,1
2276,KP Walmsley,NZ,2003,2003,1,1
2277,M Watkinson,Eng,1996,1996,1,1
2278,S Weerakoon,SL,2012,2012,1,0
2279,Zakir Hasan,Ban,1997,1997,1,1
